content,score
"puas favorit aku di tahun 2025 saya kasih jempol,gak beriklan, tdk ada bug & lemot sehingga mantap bertransaksi & menjelajahi setiap detail dari menu""nya. Namun disayangkan sekali ada beberapa fitur-menu tsb gak terlalu dipahami/ kegunaannya fungsi & tujuannya, hanya ada beberapa dr fitur fitur yg sering digunakan & hampir setiap hari pake misalanya mengisi data, bayar tagihan, transfer, menurut pengalaman semua oke gak suka eror, rekan"" jg mnikmati bebas biaya adm saat trnsferan,bagus...",5
"Puas sederhana dalam pengoperasiannya tdk beriklan, tdk ada bug & lemot sehingga nyaman bertransaksi dan menjelajahi setiap detail dari menu""nya. Namun disayangkan sekali ada beberapa fitur-menu tsb belum terlalu dipahami/ kegunaannya fungsi dan tujuannya, tapi ada beberapa dr fitur2nya yg sering dipakailah & hampir setia hari gunain misalnya mengisi listrik, bayar tagihan, transfer menurut pengalaman semua top gak suka pending,teman"" jg mnkmati bebas biaya adm , transaksi Jd lebih mudah",5
"cukup puas, praktis banget,,pavorit aqu sekli, bebas iklan, tdk ada bug & lemot sehingga senang bertransaksi dan menjelajahi setiap detail dari fitur""nya. Namun di sayangkan masih ada beberapa fitur-menu tsb tdk begitu dipahami/ kegunaannya fungsi dan tujuannya, tapi ada sebahagian dr fitur fitur yang aktif dipakai & hampir setiap hari, seperti saat mengisi pulsa, bayar berbayar, transfer, saat dipake semua lancar, gak pending2, sekedar masukan kalo bisa aplikasinya dbuat lebih ringan lagi.",5
tolong dari pihak shope.. kenpa setelah isi saldo nya.. tapi saldo yg di aplikasi shope tidak berubah\ tidak terisi.. kalau di aplikasi spay sudah terisi\saldo nya udah berubah.. tapi aplikasi shoe saldo masih sama dan gk bisa di pakek,3
"puas saya sangat suka apknya, menurut saya untuk harga appnya masih sangat terjangkau dan masih ada diskonnya, appnya juga enak gak beriklan, gak ada bug & lemot sehingga efektif bertransaksi dan menjelajahi setiap detail dari menu""nya. Namun disayangkan banget ada beberapa fitur-menu tsb yang gak terlalu dipahami fungsinya, hanya ada beberapa fitur yang sering digunakan setiap saat, misalnya isipulsa, transfer, dr pengalaman semua lancar, kawan"" jg bisa bebas biaya pada saat transfer an ya...",5
"cukup puas meskipun dengan sinyal jaringan yang jelek, platfoarm ini berfungsi 8% stabil, enak gak beriklan, tdk ada bug & lemot sehingga cepat bertransaksi dan menjelajahi setiap detail dari menu""nya. Namun disayangkan ada beberapa fitur-menu tsb gak terlalu dipahami/ kegunaannya atau maksudnya, tapi ada beberapa dr fitur fitur yang sering digunakan & hampir setiap waktu dpake misalnya isidata, transfer, dr pengalaman semua lancar, gak suka pending, sobat"" jg bisa trnsfer tanpa ada biaya.....",5
"Mungkin aplikasinya bisa ditingkatkan lagi dong biar lebih ringan, dibandingkan dengan aplikasi living by mandiri shopeepay lemot banget beda jauh. Dari segi pembacaan kode qr juga lebih cepet dan lebih akurat living, jadi malu kalo bayar pake shopeepay soalnya ditungguin kasir lama. Edit: ini bug atau apa ya soalnya pas co makanan pas bayar kita gausah masukin pin ataupun sidik jari? langsung tiba-tiba kepotong aja saldonya tanpa ada konfirmasi pin",2
saya senang berbelanja di shopee karena harganya yg murah terjangkaulah apalagi promonya ituloh bikin nagih pinginnya belanja terus dan juga pelayanan yg sangat ramah dan memuaskan dan yg bikin betah pengiriman nya yg super cepat pokoknya gak nyesal deh berlangganan sama shopee ayo siapa lagi ni yg mau seperti saya dijamin pasti kangen terus sama shopee yg super heboh promonya,5
"Suka-suka, Lancar sayang tampilan fitur""nya terlalu padat, jadi beberapa yang belum saya mengerti fungsinya, diluar fitur transfer, dan bayar berbayar. Untuk menu-menu ini penggunaannya cukup baik, minim gangguan seperti iklan, bug ataupun lemot jadi enak bertransaksi dan membuka-buka smua fitur-fiturnya. saya benar2 memanfaatkan smua kemudahan yg ada di shopee pay ini terutama kendala harga yg cukup murah bahkan untuk transaksi transfer yang memberikan layanan free biaya adm, sngat oke banget.",5
"puas aqu suka sekali bagus emang sebab tdk beriklan, tdk ada bug & lemot sehingga baik bertransaksi dan menjelajahi setiap detail dari menu""nya. Namun disayangkan sekali ada beberapa fitur-menu tsb gak begitu dipahami/ kegunaannya fungsi dan tujuannya, meskipun ada beberapa dr fitur fitur yg aktif dipakai & bisa setiap hari pake misalnya mengisi paketan, bayar tagihan, transfer menurut pengalaman semua cepat, gak prnah pending, sobat"" jg biaya admin saat kirim dana ke semua bank &yg Lainnya",5
"Puas banget aku suka lancar banget tôp lah tidak berikan,tidak ada bug & lemot seuhingga nyaman bertransaksi dan menjelajahi setiap detail dari menu""nya,tapi disayangkan masih ada sebagian fitur menu tsb ngga terlalu dipahami kegunaanya fungsi dan tujuannya,namun ada beberapa dari fitur yang aktif dipakai dan hampir setiap waktu seperti ketika mengisi token,byar tagihan listrik transfer,.menurut pengalaman ketika menggunakannya sangat oke,kalian jg bisa pendapatan bbs biaya admin ya",5
"saya kurangin bintangnya, karna Qris paylaternya hanya merchant tertentu saja yg biaa buat bayar, jd ada kendala saat belanja ketika disaat tidak bawa uang cash. makin lama sistem qris spaylaternya makin buruk pelayanannya. sangat jelek.!!!",1
"puas saya sudah lama menggunakan aplikasi dan sangat membantu.. gak beriklan, tdk ada bug & lemot sehingga lancar bertransaksi dan menjelajahi setiap detail dari menu""nya. cuma disayangkan banget ada juga fitur-menu tsb gak terlalu dipahami/ kegunaanya fungsi dan tujuannya, namun ada beberapa dr fitur fitur yg sering dpakai & hampir setiap waktu, sperti mengisi pulsa, bayar berbayar, transfer, menurut pengalaman semua lancar jaya, gk suka pending, agar lbh baik lg sy hrp dbuat simpel mngkn..",5
"puas Aplikasi ini sangat bagus dan mudah dalam penggunaannya.. gak beriklan, gak ada bug & lemot sehingga baik bertransaksi dan menjelajahi setiap detail dari menu""nya. Namun sayang sekali ada beberapa fitut-menu tsb gak terlalu dipahami/ kegunaannya fungsi dan maksudnya, hanya ada beberapa dr fitur-fitur yg sering digunakan & hampir setiap waktu dipake misalnya mengisi token, bayar berbayar, transfer, menurut pnglaman lancar, gak suka pending, teman"" jg mlkukan trsfer tnpa biaya adm,jd hemat..",5
"2 kali transaksi gantung, saldo sudah terpotong tapi transakai tetap 'sedang diproses' selama 2hari, laporan cs sudah berkali²., proses penyelesaiannya refundny lambat,., cs dan tim tidak menyelesaikan masalah dengan efektif dan efisien (cepat).,",1
"knp skrg utk pengiriman dari shopeepay ke dana sering bermasalah.. udh ngk bisa terkirim, trs kl dicoba terus malah dibilangnya dah terlalu sering menambahkan nomor.. kita kan jd susah mau bayar via SP ke Dana. Mohon perbaikannya min🙏",3
"baguss puas lancar jaya digunakan, top gak beriklan, tdk ada bug & lemot sehingga enak bertransaksi dan menjelajahi setiap detail dari menu""nya. Namun disayangkan sekali ada beberapa fitur-menu tsb gak terlalu dipahami/ kegunaannya fungsi dan tujuannya, akan tetapi ada beberapa dr fitur yg aktif di gunakan & hampir setiap hari pake misalnya mengisi token, bayar tagihan, transfer, menurutku smua enak dipakai gak prnah pending, teman"" jg bisa usaha transferan karna dsini free tnpa biaya adm nya..",5
"cukup puas suka app andalan senang banget, bebas iklan, tdk ada bug & lemot sehingga senang bertransaksi dan menjelajahi semua detail menu""nya. Tapi di sayangkan masih ada beberapa fitur-menu tsb tdk begitu dipahami/ kegunaanya fungsi dan tujuannya, namun ada sebahagian dr fitur fitur yang aktif dipakai & hampir setiap waktu, seperti mengisi pulsa, bayar berbayar, transfer saat di gunakan semuanya baik, gak pending2 sekedar saran, saya harap agar dibikin praktis lagi, agar smua jd lebih mudah.",5
"gmn pelayanan & pertanggungjawaban pihak shopeepay ini. aku isi paket data dr td mlm sampai siang gini pun blm masuk paket datanya. saldo uda kepotong, transaksi berhasil tp paket data gak masuk². Jelek x pelayanannya, beda jauh sama gopay. gopay gitu transaksi langsung berhasil, mana mahal² lg harganya di shopeepay ini. ku uninstall jg ini aplikasi jelek kyk gini",1
"Memuaskan aqu suka suka bagus banget dipakai tdk beriklan, tidak ada bug & lemot sehingga enak bertransaksi dan menjelajahi setiap detail dari menu""nya. Namun disayangkan masih ada beberapa fitur/menu tsb gak terlalu dipahami kegunaannya, mungkin ada beberapa dr fitur fitur yg aktif digunakan & hampir setiap waktu memakainya seperti ketika mengisi token, bayar tagihan, transfer, menurut pengalaman semua top gak suka pending, teman2 jg bisa mndptkan bbas biaya admin tuk transfer ksmua bank lokal",5
"akun bisa dibekukan se enak penyedia aplikasi, bikin kapok berat, enggak rekomen dan rentan bahaya penyalah gunaan.. akun shopee seller yg bermasalah dibekukan,, semua produk shopee ikut kena termasuk aplikasi pembayaran ini bisa di bekukan seenak mereka... DAN BAHAYANYA DALAM KONDISI DI BEKUKAN TAPI BISA DI ISI, TAPI TIDAK BISA DI GUNAKAN, BAHKAN DI TRANSFER BALIK PUN TIDAK BISA.. kan Gila ini Aplikasi.. YA anggep aja duit nya ilang... WASPADA yg pake Aplikasi ini",1
"Sekedar pendapat mengenai Pinjaman dan pay later Shopee bunganya terlalu besar, tidak ada beda dengan pinjol2 yang berserakan di play store dan iklan2. Dengan bunga 3.95% / bulan pembiayaan 5jt dengan 12 bulan harus melunasi hampir setengah dari total pembiayaan... program level shopee pay, juga tidak jelas, grafik meter rating tidak ada, hanya ketetapan yang di tentukan sesuai level. sekali pun limit sd 40jt jika bunga terlalu besar, mending beralih ke Kredit Card .",1
aplikasinya bermasalah pada maps saat pesen shoopefood GPS-nya berubah sendiri yang menyebabkan kurir salah alamat dan harus konfirmasi kembali ke kurir dan juga harus tambah ongkos pengiriman ke kurir untuk di antar ke alamat tujuan yang sesuai.. Tolong dong di perbaiki dulu aplikasinya.. mungkin masih ada bug yang nyantol.. jadi gk nyaman banget pakai aplikasinya..,2
"cukup puass sekali ,, kinerja appsnya baik,senang gak beriklan, tdk ada bug & lemot sehingga mantapp bertransaksi dan menjelajahi setiap detail dari menu""nya. Cuma di sayangkan sekali ada juga fitur-menu tsb gak begitu dipahami/ kegunaannya fungsi dan tujuannya, hanya ada beberapa dr fitur fitur yg sering digunakan & hampir setiap hari dipake, misalnya mengisi plsa, bayar berbayar, transfer, menurut penglaman semua okelah, gak pernah pending, rekan"" bisa trnsfr tanpa ada biayanya,, mantap..",5
"Beberapa halaman tampilan sudah oke, akan tetapi fitur fiturnya sebagian masih kurang jelas dan sulit dipahami karena tata letaknya masih terlalu padat. Selain itu ada beberapa icon yang warnanya tidak seragam serta ada yang bergerak ada yang statis. Terdapat juga ikon yang mungkin kurang cocok seperti lambang aplikasi lain yang tidak konsisten. Bahasa yang digunakan pun menurut saya masih belum konsisten. Mungkin kedepannya hal ini bisa disamakan dan dirapikan lagi agar lebih enak dilihat.",3
"Kecewa banget. Pesan shopeefood tapi menu habis, jadi voucher terlepas dan harus membayar harga asli. Padahal menu habis itu tidak terduga malah jadi customer yang menanggung biaya lebih mahal. Mana biaya tambahan dengan tunai, padahal pesannya no-tunai.",1
"Terbaik dan sangat memuaskan, sangat komplit dari segi fitur fitur nya ya sehingga nyaman bertransaksi dan menjelajahi setiap detail fitur dan manfaat dari menu""nya ya,sejauh ini menggunakan aplikasi ini ngga ada kendala,bug maupun iklan, pokoknya mantap deh sama apk yang satu ini, terbaik,adapun beberapa fitur yang sering digunakan seperti saat membeli pulsa,token,dan berbagai transaksi semua oke,saran saya biar lebih menarik fitur menu nya ditambah ya seperti Qris biar lebih membantu lagi apk",5
"dr aplikasi shopee ada pemberitahuan kl download app shopee pay dpt saldo 100rb. step nya jg cm download, nnti muncul tntg saldo 100rb itu, selesai. nyatanya pas di download boro2 masuk. gak jelas! nipu.",1
"maraknya penipuan dan kurang keamanan aplikasi ,dengan mudahnya saldo saya di ambil ,melalui pesan kode otp WhatsApp. Tidak ada keamanan kah?",1
"Hi ShopeePay, soal sistem 'gratis ongkir' kalian itu, jujur saja lumayan bikin repot. Belanja seberapa pun kecilnya, saldo ShopeePay malah harus siap jauh di atas harga barang. Ini gara-gara ongkir dihitung dulu, baru kupon gratis ongkirnya nempel. Alhasil, duit kami ngendap gitu aja, gak bisa dipakai buat yang lain. mending bayar cash di minimarket atau transfer bank, adminnya kan lebih kecil. Daripada duit nyangkut di ShopeePay, belanja receh pun jadi percuma banget, apalagi ongkir pada mahal.",2
"Memuaskan dan sangat lengkap mulai dari fitur fiturnya yang sangat lengkap sehingga nyaman bertransaksi dan menjelajahi setiap detail menu""nya adapun beberapa fitur yang kurang kita ketahui fungsi dan tujuannya,namun ada pula beberapa fitur yang hampir setiap harinya kita gunakan ya seperti saat membeli pulsa, mengisi token dan berbagai transaksi,sejauh ini menggunakan apk nya oke banget ngga ada kendala seperti lemot,bug maupun iklan.Ada banyak sekali keuntungan dengan menggunakan aplikasi ini",5
"aplikasi yg sangat bagus, sy mengajukan pinjaman juga di sini, selagi kalian membayar rutin n tepat waktu insyaallah aman aman aja sih, trus yg bagusnya lagi tdak ada iklan, tdak lemot tidak ada bug, mantap lah pokoknya,,",5
"sangat kecewa dengan shopeepay, masa transfer sering gangguan. paling sering menemukan maslah pending transfer ke e-wallet lain. dan proses nga lama bisa 2 hari, bobrok emang.",1
"Cukup memuaskan dan sangat konsisten banget ketika dipakai melakukan berbagai transaksi ya,dari segi tampilan nya juga sangat mudah dipakai ya, terbaik ya apknya soal nya sudah ditunjang dengan berbagai fitur fitur yang sangat lengkap banget sehingga memudahkan menjelajahi setiap detail fitur fungsi dan tujan dari menu""nya,ada beberapa fitur yang sangat sering dipakai ya seperti saat membeli pulsa,mengisi token listrik dan berbagai transaksi semua oke banget ya,diantara beberapa aplikasi serupa.",5
"gak bisa lihat info/nomor rekening orang yang menerima transfer. keamanan dan kenyamanan transaksi pelanggan tidak di jaga atau tidak transparan. bayangin tiba"" ada uang ke kuras di transfer ke bank lain tapi kita gak bisa lihat nomer rekening pemeras. sama saja melindungi maling. kacau nih aplikasi.",1
"Ini gimana sih aplikasi nya , masa bisa akun shopee pay aku bisa login di hp orang lain tanpa otp , sandi, maupun verifikasi wajah, tolong lah keamanannya di perketat lagi, kalo kayak gini bisa kecolongan ilang uang, ini aja gak makai paylater ny tiba² ad hutang di paylater 500rtsan lebih, gila kali emang",1
"cukup puas bahkan dengan sinyal jaringan yang buruk aplikasi ini berfungsi 9%stabil enak gak ber iklan gak ada bug dan GK lemut sehingga cepat ber transaksi dan menjelajahi setiap detail dari menu2nya namun d sayangkan ada beberapa fitur-menu tsb gak terlalu di pahami/ke gunaanya atau maksudnya.tapi ada beberapa fitur fitur yang sering d gunakan dan hampir setiap waktu d pakek pengisian data transfer dari pengalaman semua lancar.gak suka pending shobat""juga bisa transfer tanpa biaya ok",5
"bagus aplikasi ini , memudahkan kita dlm berbelanja s cara online nggak ribet dan selalu memuaskan pelanggan dgn pelayanan dan pengiriman tepat waktu , terimakasih sophe 👃, untuk shopee pay terimakasih sudah membantu finansial kita dgn memberikan kredit dgn bunga yg rendah dan fleksibel sehingga bisa menghandle kebutuhan keuangan kita dgn baik 👃",5
e wallet paling gak jelas... saldo sendiri gak bisa ditranfer gagal terus.. payah... sudah laporan disuruh nunggu 1x24 jam. sekarang sudah lewat 24 jam masih belum bisa transfer.. aplikasi rusak.. jangn mau pake shoopepay .e wallet gak jelas,1
"baik dan buruk layanan aplikasi ini, semua kembali kepada penggunanya. semoga bijak dalam memanfaatkan kemudahan semua layanan transaksi elektronik saat ini..terimakasi ShopeePay-QRIS, semoga semakin bermanfaat,meringankan dan memudahkan semua kebutuhan dalam pembayaran & bertransaksi elektronik/tunai.",5
"sangat mengecewakan, sudah isi saldo , terus saldonya ngestak , tidak bisa transfer, sudah verifikasi KTP sudah terdaftar , padahal saya belum pernah isi form , saya coba pakai KTP saudara saya belum selesai isi form malah balik sendiri ke beranda, udah berkali kali",1
"tolong untuk akun saya , fitur paylater dll. diaktifkan dong masa dari awal, psn"" brg dan food disini. fiturnya ga berfungsi. padahal rajin transaksi. system payah. gabisa nilai langganan. update akun saya/pengkinian data. nih dikasih full bintangnya.. moga langsung diproses.kalau masih ga fungsi. gamau kasih nilai sekalian.",3
"Susah sekali pengajuan penghapusan akun ketika kita sudah terjebak spaylater dan spinjam, semua sudah dilunasi akan tetapi masih dipersulit untuk keluar dari masalah spaylater dan promo promo nya tolong dipermudah saya mau hapus akun dari kecanduan spaylater",1
"Ini gimana ya pihak Spaylater nomer saya ada yang menggunakan sebagai kontak darurat dari orang tak bertanggung jawab, nomer saya terus ditelpon nomer asing setiap waktu dan setiap hari saya merasa diteror diteror, ini gimana ya kok bisa gini, udah kayak dikejar pinjol aja. mohon bantuannya.",2
"untuk transaksi sangat bgus tapi untuk pembelian pket data kok bisa sampai nunggu berhati-hari pdhl transaksi pembelian udh selesai ini udh hari ke 3 tapi ttp slalu di proses""trus yg beli kpn yg di butuhkan kpn eh kok lama bget sih",3
"""SHOPEEPAY TIDAK LAYAK PAKAI"". Aplikasi belum siap digunakan secara luas ditambah promosi terjadi bugs. saldo pengirim sudah terpotong shopeepay belum nambah saldo. Harus nunggu 1x24 jam untuk buat pengaduan dan 1x24 jam setelah isi formulir pengaduan. Ditambah lagi itu semua diproses hanya pada hari kerja. Apakah semua orang punya uang dan waktu untuk urusan ribet begitu....",1
"Aplikasi yg sangat Buruk, ketika sedang pesan makanan, hanya dalam waktu 5 detik anda tidak bisa merubah pesanan & tidak ada solusi sama sekali, tiba"" chat ke driver tidak bisa",1
"permisi kak, sebelumnya saya sudah mengaktifkan shopeepay limit Xtra dan saya sudah mengganti handphone saya. kadang saat pengajuan kadang bisa kadang ditolak kak, bagaimana ya kak? offline store shopeepay dimana ya kak? saya ingin bertanya tanya kenapa suka ditolak",4
"tidak bisa bayar barang walau saldo diatas harga barang, harus lebih dari total belanjaan pake kartu kredit pembayaran gagal terus, kacau.",1
"Masih belum ngerti, sudah 2 minggu ini ada kendala di SP Pinjam dan sudah bolak-balik cat dengan CS di aplikasi maupun via email tetap ga ada perbaikan. Kendala: Setiap masukin nomor Rekening selalu keterangannya norek salah, padahal nama sudah sesuai KTP, Tulisan nomor rekening tdk ada tambahan tanda baca dan sebelumnya belum pernah ngisi norek, baru kali ini norek baru",1
Ini kenapa ya pas saya login dengan aplikasi Shopee koneksi time out terus terus saya coba memasukkan nomer HP pertama bisa verifikasi setelah itu Timeout lagi kemudian saya coba lagi pakai nomer hp sama Time Out lagi,2
"Saya sudah menggunakan Shopee selama beberapa tahun dan bisa dibilang ini adalah salah satu platform belanja online terbaik di Indonesia. Aplikasi ini sangat user-friendly, memiliki tampilan yang intuitif, dan fitur pencarian yang memudahkan saya menemukan produk apa pun dengan cepat. Pilihan produk sangat beragam, mulai dari kebutuhan sehari-hari hingga barang elektronik, fashion, dan kebutuhan rumah tangga—semuanya tersedia dengan harga yang kompetitif.",5
Saya tidak bisa mendaftar sat selesai mengisi formulir sesuai KTP pas konfirmasi malah cuman muncul tombol ok Tampa pemberitahuan lain sehingga saya bingung apa yg salah apa yg kurang tong beri tahu saya,1
"SPAylater gak bisa di pakai...padahal sudah melakukan prosedur masih gak mau.....kayak akun di batasi...🥺 padahal bayar cicilan SPaylater gak pernah telat...tepat waktu teruss kenapa ya sekarang di batasi takut org gak mau bayar aja,, saya kepengen kembalikan Rating akun saya yang bagus lagi",3
kurang okay buruk krn tdk bs cek in setiap hr mengunakan wifi hrs paket sendiri ...jd tdk tertarik utk kumpulin koin walaupun nantinya ada paket. kinerja buruk dirubah yg PD pakai wifi biar bisa ikutan kumpulin coin cek in out setiap hr jgn buat alasan jaringan.,1
Kapok banget pake shopeepay... melakukan pembayaran di merchant berhasil tp gk masuk ke saldo merchant.. bikin laporan ke CS hasilnya mengecewakan dana tidak di refund... Saran saya mending gk usah pake Shopeepay krn sering terjadi kendala dan proses penangananyan yg ribet berbelit belit tp tetep dana tidak direfund....,1
"spaylater buat tagihan nya tolong dong jgn di gabung semua tgl 1 , kalopun tgl 1 semua coba deh di buat menu bayar pertagihan dr yg lama sampe yg terbaru. jadi kalo saldo gak cukup kan bisa bayar setengah nya dulu",5
Sangat tidak puas....saldo shopeepay tiba2 terpotong 765.900 secara otomatis oleh google play transaksi online tidak jelas.... Seharus pihak shopeepay verifikasi dulu...hati hati dana tidak aman,1
"aplikasi gajelas merugikan pengguna nya, sebelum instal aplikasi ini saldo spay saya aman"" aja, tapi setelah instal tiba"" saldo saya berkurang sendirinya karna bayar langganan member yt otomatis, padahal saya ga pernah nyalain fitur berlangganan otomatis.",5
"saran untuk shopee payletter, mohon di berlakukan verifikasi wajah saat transaksi pembayaran, untuk menghindari pembajakan akun, apabila pembajak akun bisa masuk ke akun korban transaksi tak akan terjadi krn terhalang verifikasi wajah. Terima kasih, salam sehat selalu.",5
"Untuk kendala teknis, pusat bantuannya kemana kah? 🙏🏻 saya menggunakan voucher pembayaran tagihan, namun belum sempat tekan pin ternyata sudah di notifikasi jika pembayaran sedang ditinjau.. mau saya batalkan tidak bisa karena tidak ada option nya.. alhasil pembayaran gagal dan seharusnya voucher saya tidak hangus.. 🙈😌",4
"Aplikasi untuk kebutuhan Komersil,keuangan,dan berbelanja cukup dengan hanya aktivasi sederhana dan sangat membantu mengurangi waktu beraktifitas tanpa mengganggu aktifitas wajib sehari2 HANYA CUKUP DENGAN MENGGUNAKAN 1 APLIKASI ,menurut saya SHOPEEPAY REECOMENDET untuk di gunakan setiap hari....KEREN👍👍.",5
"puas pavorit qu untuk kebutuhan ppob, bagus, gak beriklan, tdk ada bug & lemot sehingga nyaman bertransaksi dan menjelajahi smua detail dari menu""nya. akan tetapi di sayangkan sekali ada beberapa dr fitur-menu tsb gak terlalu dipahami/ kegunanaannya fungsi dan tujuannya, hanya ada beberapa dr fitur fitur yg aktif dipakai & hampir setiap saat dipake, contohnya, mengisi token, bayar tagihan, transfer, mnrut pengalaman semua lancar no pending2, sobat"" bisa trf ke semua bank tanpa ada biaya ya.",5
uang aku keseringan nyangkut transfer berkali kali nyangkut. top up saldo berkali kali nyangkut. dan nunggu kembalinya lama amat. tim shopepay terlalu lelet dalam penanganan Maslah nasabahnya.,1
"Aplikasinya cepat, ga lemot, suka pakai aplikasi wallet SPay ini, top pokoknya Saran : Untuk Shopee Cicilan kalau bisa bunganya jgn hanya FLAT saja, sediakan juga bunga ANUITAS (bunga dihitung dr sisa pokok), bila perlu sediakan juga pelunasan/penutupan cicilan (sisa pokok+bunga 1 bln) sebelum waktunya dgn syarat setelah memenuhi 3-4 bln cicilan berjalan 👍, Terima Kasih 🙏",5
"dengan ada nya aplikasi Shopeepay dapat membantu segala hal terutama dalam keuangan yang bisa di andalkan dalam situasi kejepit karena biaya hidup yg semakin tinggi, minimal Shopeepay bisa jadi alternatif kebutuhan saya terimakasih Shopeepay 🔟",5
"Puas sekali menggunakan ShopePay, tanpa perlu diperjelas secara keseluruhan. Namun yang disayangkan saat Pembayaran QRIS sering kali terasa Berat/Lemot, dan untuk Metode pembayaran SpayLater ada bunga nya perbulan, dan apabila untuk pembayaran tagihan SpayLater nya diberikan jangka waktu sebulan, tentunya waktu untuk bayar tagihan nya pun lebih leluasa, karena perlu nunggu Gajian dulu. Hehehe..",4
